,word,adult_definition,kids_definition,adult_word_count,kids_word_count,from_Qwen2,word_count,similarity
4844,heterodox,'Not conforming with accepted or orthodox standards or beliefs.','not following the usual or accepted beliefs and opinions',9,9,not doing what most people think is right or normal,10,0.7270348
4845,heterodoxy,'Any opinions or doctrines at variance with an official or orthodox position.','the fact of not following the usual or accepted beliefs and opinions; an opinion or belief that is different from usual ',12,22,It's about having ideas that are not the same as what most people think or do.,16,0.7563768
4846,parquet,'A floor covering for indoors made of wood.','a type of floor that consists of flat pieces of wood fixed together in a pattern',8,16,a floor made of flat wood pieces put together in a pattern,12,0.8580513
4847,bowdlerize,'To remove those parts of a text considered offensive vulgar or otherwise unseemly.','to remove the parts of a book play etc. that you think are likely to shock or offend people',13,19,to take out parts from a book or play that might upset people,13,0.82728946
4848,gyroscope,'A device for measuring or maintaining orientation based on the principles of angular momentum.','a device consisting of a wheel that turns rapidly inside a frame and does not change position when the frame is moved. Gyroscopes are often used to keep ships and aircraft steady.',14,32,A thing with a fast-spinning wheel inside a box. It helps keep ships and planes from tipping when they move.,20,0.82333374
4849,pertussis,'A contagious disease of the respiratory system that usually affects children.','whooping cough (= a disease especially of children that makes them cough and have difficulty breathing)',11,16,Whooping cough is a sickness that kids get. It makes them cough a lot and have a hard time breathing.,20,0.8403865
4850,roughcast,'Coarse cladding used on outside walls that consists of lime (or cement or both) mixed with sand and sometimes small gravel or shells then thrown against the wall.','roughcast walls are outside walls that are covered with a type of plaster that contains small stones',28,17,Rough walls outside have little stones in special sticky stuff.,10,0.72971547
4851,mayday,'An expression used by aircraft and shipping to call for help or assistance.','an international radio signal used by ships and aircraft needing help when they are in danger',13,16,a special sound on the radio that boats and planes use when they need help and are in trouble,19,0.85578513
4852,harridan,'A vicious and scolding woman especially an older one.','an offensive word for an angry or unpleasant woman',9,9,a mean word for a grumpy lady,7,0.77636904
4853,virago,'A vicious and scolding woman especially an older one.','an offensive word for a woman who is thought to be aggressive and trying to control people',9,17,a not-nice name for a lady who acts bossy and tries to make people do what she wants,18,0.839239
4854,typewriter,'A device at least partially mechanical used to print text by pressing keys that cause type to be impressed through an inked ribbon onto paper.','a machine that produces writing similar to print. It has keys that you press to make metal letters or signs hit a piece of paper through a long narrow piece of cloth covered with ink (= coloured liquid).',25,38,"A machine makes writing like in books. You press keys to make letters. Letters hit paper with ink from a long, skinny cloth.",23,0.87793833
4855,hag,'A vicious and scolding woman especially an older one.','an offensive word for an old woman',9,7,a not-nice word for a grandma,6,0.7628862
4856,tort,'A wrongful act whether intentional or negligent which causes an injury and can be remedied at civil law usually through awarding damages.','something wrong that somebody does to somebody else that is not criminal but that can lead to action in a civil court',22,22,"When someone does something not nice to another person, but it's not a big crime, they might have to go to a special court where people solve problems without going to jail.",32,0.83051956
4857,platypus,'A semi-aquatic mammal of the species Ornithorhynchus anatinus that lays eggs.','an Australian animal that is covered in fur and has a beak like a duck webbed feet (= with skin between the toes) and a flat tail. Platypuses lay eggs but give milk to their young.',11,36,"A platypus is an animal from Australia. It has fur, a duck-like beak, feet with webbing, and a flat tail. They lay eggs and also give milk to their babies.",30,0.9069065
4858,gasoline,'A fuel for internal combustion engines consisting essentially of volatile flammable liquid hydrocarbons derived from crude petroleum.','a liquid obtained from petroleum used as fuel in car engines etc.',17,12,It's a slippery stuff from oil that cars use to go vroom-vroom.,12,0.6770288
4859,strainer,'An apparatus with small holes used to separate a solid from a liquid.','a kitchen utensil (= a tool) with a lot of small holes in it used for separating solids from liquids',13,20,A tool in the kitchen with many little holes used for taking out solid bits from liquid.,17,0.85272187
4860,skimmer,'Kitchen utensil in the form of a flat spoon with small holes and a long handle used to remove hot food from a liquid or to skim off top lying material lıke foam or cream.','a device that illegally copies electronic information from a credit card in order to use it without the owner’s permission',35,20,"A sneaky tool that steals info from a card to use it, but not allowed by the card's owner.",19,0.81017786
4861,toddler,'A child between the ages of one and three','a child who has only recently learnt to walk',9,9,a little kid who just learned to walk,8,0.7302177
4862,sidewalk,'A paved footpath at the side of a road for the use of pedestrians.','a flat part at the side of a road for people to walk on',14,14,"a side part, flat, by road, for people walk.' 

However, this simplification doesn't maintain proper grammar or clear meaning. A better simplification for kids would be: 'A sidewalk is a flat part next to the road where people can walk.' Using the prioritized list, it could be: 'Side, flat, road, people, walk.' But this loses coherence, so for clarity: 'A flat part next to the road for people to walk on.",71,0.77177584
4863,jack-in-the-box,'A children\'s toy that outwardly consists of a box with a crank. When the crank is turned it plays a melody. At the end of a tune there is a surprise the lid pops open and a figure usually a clown or jester pops out of the box.','a toy in the shape of a box with a figure inside on a spring that jumps up when you open the box',48,23,"A fun toy is a box. Inside, there's a little figure on a spring. When you open the box, it jumps up.",22,0.877418
4864,croup,'A respiratory condition that is usually triggered by an acute viral infection of the upper airway.','a disease of children that makes them cough (= force air through the throat noisily) a lot and have difficulty breathing',16,21,"A sickness that kids get, making them cough a lot and breathe hard.",13,0.8131772
4865,keyboardist,'A musician who plays a keyboard instrument.','a person who plays an electronic musical instrument with a keyboard',7,11,A person who plays music on a keyboard that is electronic.,11,0.8860498
4866,firefly,'A nocturnal bioluminescent beetle of the family Lampyridae.','a flying insect with a tail that shines in the dark',8,11,A bug with a shiny tail that flies at night.,10,0.80273664
4867,secretive,'Having an inclination to secrecy.','tending or liking to hide your thoughts feelings actions etc. from other people',5,13,liking to keep your thoughts and feelings a secret from others,11,0.8340223
4868,pedometer,'A device that counts the number of steps that a person takes.','an instrument for measuring how far you have walked',12,9,A tool to see how much you've walked.,8,0.7532496
4869,lymph,'A colourless watery bodily fluid carried by the lymphatic system.','a clear liquid containing white blood cells that helps to clean the tissues of the body and helps to prevent infections from spreading',10,23,"A clean, clear juice with white cells that helps keep our body tidy and stops sickness from growing.",18,0.85897255
4870,mucus,'(physiology) A viscous secretion from the lining of the mucous membranes.','a thick liquid that is produced in parts of the body such as the nose by a mucous membrane',11,19,"a gooey stuff our body makes, like in our nose",10,0.73463035
4871,loofah,'A tropical vine of the genus Luffa having almost cylindrical fruit with a spongy fibrous interior; the dishcloth gourd','a long rough bath sponge made from the dried fruit of a tropical plant',19,14,a big scratchy sponge from a plant fruit,8,0.79372895
4872,meow,'The cry of a cat.','the crying sound made by a cat',5,7,the sound a cat makes when it cries,8,0.8600501
4873,staphylococcus,'A parasitic bacterium of the genus Staphylococcus.','a type of bacteria that can cause infections in some parts of the body such as the skin and eyes',7,20,"a tiny germ that can make some body parts, like skin and eyes, get sick",15,0.8320954
4874,see-saw,'An apparatus composed of a plank balanced in the middle with seats at both end used for a game in which one person goes up as the other goes down.','to keep changing from one situation opinion emotion etc. to another and back again',30,14,to go back and forth between different feelings or ideas,10,0.7497018
4875,oppression,'The exercise of authority or power in a burdensome cruel or unjust manner.','cruel and unfair treatment of people especially by not giving them the same freedom rights etc. as other people',13,19,Treating people badly and not letting them have the same choices and rights as others.,15,0.84323806
4876,upstart,'Wealthy person whose fortunes are newly acquired and who is therefore perceived to lack the refinement of those who were raised wealthy.','a person who has just started in a new position or job but who behaves as if they are more important than other people in a way that is annoying',22,30,"a new person in a job acting too big, like they are bossier than others, and it bugs people",19,0.83085304
4877,windsurfing,'A water sport consisting of riding a surfboard that has an attached sail.','the sport of sailing on water standing on a windsurfer',13,10,It's a fun game where you stand on a big board and use the wind to move on the water.,20,0.75896966
4878,boardsailing,'A water sport consisting of riding a surfboard that has an attached sail.','the sport of sailing on water standing on a sailboard',13,10,It's a fun game where you slide on water with a board and a sail.,15,0.7593733
4879,closing,'A polite phrase used to end a letter or other written communication.','coming at the end of a speech a period of time or an activity',12,14,When something finishes after a while or after doing something.,10,0.7623245
4880,cirque,'A curved depression  with steep walls in a mountainside created by glacier erosion forming the end of a valley.','a round hollow area in the side of a mountain',19,10,a round hole in the side of a big hill,10,0.84089947
4881,vane,'The flattened web-like part of a feather consisting of a series of barbs on either side of the shaft.','a flat blade that is moved by wind or water and is part of the machines in a windmill etc.',19,20,"A flat part that spins with wind or water, like in a windmill machine.",14,0.88824815
4882,raincoat,'A waterproof coat worn to protect against the rain.','a long light coat that keeps you dry in the rain',9,11,a big coat that stops rain from making you wet,10,0.81908166
4883,remarkable,'Immediately noticeable or standing out.','unusual or surprising in a way that causes people to take notice',5,12,Something that is very different and catches people's eyes.,9,0.75980747
4884,speck,'A very small piece of matter.','a very small spot; a small piece of dirt etc.',6,10,a tiny dot; a little bit of dirt.,8,0.8082822
4885,sarin,'A colorless and odorless substance with the formula (CH3)2CHOCH3P(O)F which is toxic to humans and animals.','a type of poisonous gas used in chemical weapons',16,9,"a bad gas that hurts, used in war things",9,0.74146676
4886,bowman,'Someone who shoots an arrow from a bow or a bolt from a crossbow.','archer (= a person who shoots with a bow and arrows)',14,11,Archer is a person who shoots with a bow and arrows.,11,0.88163066
4887,foosball,'A table-top game based on football where small figures placed on rotating bars are used to shoot the ball.','an indoor game for two people or teams played by moving rows of small models of football (soccer) players in order to move a ball on a board that has marks like a football (soccer) field',19,36,"A fun game inside for two groups or friends, using tiny soccer player toys to push a ball on a table that looks like a soccer field.",27,0.8695809
4888,trivet,'An object sometimes with short feet used to support hot dishes and protect a table.','a metal stand that you can put a hot dish etc. on',15,12,a holder to put hot plates on.,7,0.726827
4889,voila,'Used to introduce a person thing or action that the listener can feel very often visually.','used to say ‘there it is!’ when you show something to somebody or something appears suddenly',16,16,"When you find something or it pops up quick, you'd say ""there it is!""",14,0.7404929
4890,swordfish,'A fish of the species Xiphias gladius with a long flat bill.','a large sea fish with a very long thin pointed upper jaw',12,12,"a big fish in the sea with a long, skinny, pointy top jaw",13,0.8142471
4891,lollipop,'A confectionery consisting of a piece of candy/sweet attached to a stick.','a hard round or flat sweet made of boiled sugar on a small stick',12,14,"a small, hard candy on a stick",7,0.71246994
4892,rowboat,'An open boat propelled by pulling oars through the water.','a small open boat that you move using oars',10,9,"A little boat with no top, you use sticks to make it go.",13,0.76735806
4893,regardless,'Whatever the case may be','paying no attention even if the situation is bad or there are difficulties',5,13,"not paying attention, even when things are bad or hard.",10,0.74034536
4894,kettlebell,'A cast-iron weight resembling a cannonball with a handle used to perform ballistic exercises.','a large iron weight in the shape of a ball with a single handle used in exercises to build strength in the hands lower back legs and shoulders',14,28,"a big, round iron thing with a handle, used to make your hands, back, legs, and shoulders strong.",18,0.81011665
4895,overproduction,'A production that exceeds the demand by consumers.','the act of producing more of something than is wanted or needed',8,12,making too much of something,5,0.68745494
4896,traitor,'A person who is active in an Organisation or similar who is actively and secretly sharing some or all of its internal and confidential informations with another organisation or group of people most often targetting quite opposite goals.','a person who betrays their friends their country etc. by giving away secrets about them by lying to or about them or by doing other things that will harm them',38,30,"A person who is not nice to friends or country, tells secrets, lies, and does bad things to hurt them.",20,0.8871647
4897,bartender,'A person preparing and serving drinks at a bar.','a person who works in a bar serving drinks',9,9,a person who works in a place and gives you drinks,11,0.83257204
4898,barman,'A man preparing and serving drinks at a bar.','a man who works in a bar serving drinks',9,9,a man who works in a bar and gives out drinks,11,0.83336395
4899,barmaid,'A woman preparing and serving drinks at a bar.','a woman who works in a bar serving drinks',9,9,a lady who works in a place and gives people drinks,11,0.82039726
4900,cannonade,'An intense and prolonged artillery fire.','a continuous firing of large guns',6,6,big guns shooting lots,4,0.68686795
4901,doff,To take (an article of clothing) away from one's body.,'to take off a piece of clothing; to take off your hat especially to show respect for somebody/something',10,18,"to take your hat off, to show respect",8,0.8097569
4902,guilder,'The Dutch currency until the introduction of the euro in 2002.','the former unit of money in the Netherlands (replaced in 2002 by the euro)',11,14,the old money they used in a country called the Netherlands before they started using euros in 2002,18,0.7698547
4903,florin,'The Dutch currency until the introduction of the euro in 2002.','an old British coin worth two shillings (= now 10p)',11,10,"A big coin from England that was worth a lot, like 10 pennies.",13,0.7871881
4904,earlobe,'The lower fleshy part of the human ear.','the soft part at the bottom of the ear',8,9,the squishy bottom part of the ear,7,0.83264565
4905,fearfulness,'The quality of being fearful.','the fact of being nervous or afraid',5,7,feeling scared or nervous,4,0.73515
4906,precariat,'A social group of unprotected workers and unemployed people.','people whose employment and income are not secure especially when considered as a class',9,14,"people with jobs and money that might go away, like a group",12,0.69008183
4907,phantasy,A situation imagined by an individual that expresses certain desires or aims on the part of its creator. Fantasies sometimes involve situations that are highly unlikely; or they may be quite realistic. Another more basic meaning of fantasy is something which is not 'real' as in perceived explicitly by any of the senses but exists as an imagined situation of object to subject.,'fantasy (= a product of your imagination; the act of imagining things)',63,12,Fantasy is when you use your imagination to think of things that are not real.,15,0.8134706
4908,birther,'A person who denies that President Barack Obama was born in the United States.','a person who claimed that President Obama was not born a US citizen and so had no legal right to be president',14,22,A person said President Obama was not born in the US and couldn't be the president.,16,0.8333318
4909,meth,'An addictive psychoactive drug of formula C₁₀H₁₅N.','a powerful illegal drug methamphetamine that looks like small pieces of glass',7,12,a strong bad drug that looks like tiny glass bits,10,0.8080527
4910,tik,'An addictive psychoactive drug of formula C₁₀H₁₅N.','the drug methamphetamine especially in the form of very small crystals',7,11,the little crystals of a strong drug called methamphetamine,9,0.88401645
4911,tina,'An addictive psychoactive drug of formula C₁₀H₁₅N.','a first name for girls sometimes short for Christina',7,9,"A girl's name, sometimes short for Christina.",7,0.8091844
4912,taurine,'An organic acid of formula C2H7NO3S widely distributed in animal tissues.','a substance that is sometimes used in drinks that are designed to make you feel more active',11,17,a thing put in some drinks to help you feel more ready to go,14,0.7594679
4913,logarithm,'The number by which a fixed number (the base) must be raised to produce a given number.','any of a series of numbers set out in lists that make it possible to work out problems by adding and subtracting instead of multiplying and dividing',17,27,"a list of numbers that helps you add and subtract, so you don't have to multiply or divide to solve problems.",21,0.84737164
4914,unimpaired,'That has not been impaired or altered; lacking nothing essential especially not damaged','not damaged or made less good',13,6,not hurt or not made bad,6,0.7346032
4915,unaltered,'That has not been impaired or altered; lacking nothing essential especially not damaged','that has not changed or been changed',13,7,that is still the same,5,0.6907871
4916,unchanged,'That has not been impaired or altered; lacking nothing essential especially not damaged','that has stayed the same and not changed',13,8,that has not changed and is still the same,9,0.8552053
4917,win-win,'That benefits all parties involved without the need of a compromise.','in which there is a good result for each person or group involved',11,13,where everyone gets a good thing.,6,0.6340442
4918,jawbone,'The bone of the lower jaw.','the bone that forms the lower jaw',6,7,the bone for the bottom part of the mouth where teeth go,12,0.8116328
4919,payphone,'A telephone with which the communication is payed by inserting money a credit card or a telephone card.','a phone usually in a public place that is operated using coins or a card',18,15,"a special phone in a place where many people go, you use coins or a card to make it work",20,0.80562496
4920,forsythia,'A shrub native to Asia and Eastern Europe which is cultivated for its yellow flowers which bloom in early spring.','a bush that has small bright yellow flowers in the early spring',20,12,"A bush with little, bright yellow flowers in early spring.",10,0.9000767
4921,symphonic,'Pertaining to or having the character of a symphony.','in the form of a symphony; connected with symphonies ',9,10,like a big music play; linked to big music plays,10,0.7712017
4922,honeycomb,'The second chamber in the alimentary canal of a ruminant animal','a structure of cells with six sides made by bees for holding their honey and their eggs',11,17,Bees make little houses with six sides to keep their honey and eggs.,13,0.86321735
4923,mantelpiece,'A shelf that is affixed to the wall above a fireplace.','a shelf above a fireplace',11,5,a shelf over the fire place,6,0.7651383
4924,irrecoverably,'In a manner that cannot be recovered from or made good.','in a way that means you cannot get something back',11,10,like when you can't get something back,7,0.68643796
4925,irretrievably,'In a manner that cannot be recovered from or made good.','in a way that means you can never make something right or get it back',11,15,It's like you can't fix it or get it back ever.,11,0.8037969
4926,irreparably,'In a manner that cannot be recovered from or made good.','in a way that is too bad or too serious to repair or put right',11,15,when something is very wrong and can't be fixed,9,0.7486552
4927,overgenerous,'Very generous; giving (money praise etc.) in abundance.','giving too much of something',8,5,giving lots of something,4,0.76913655
4928,macaron,'A sweet meringue-based confectionery made with egg white sugar almonds and various flavours such as chocolate vanilla or raspberry.','a small round cake made with egg white sugar and almonds usually consisting of two halves with a cream filling in between',19,22,"A little, round cake made with egg white, sugar, and almonds. It has two parts with creamy stuff in the middle.",21,0.8957354
4929,plight,'A bad or unfortunate situation.','a difficult and sad situation',5,5,a hard and sad time,5,0.67764664
4930,butterfly-bush,'A species of flowering plant native to China and Japan which is popular as ornamental plant.','a bush with purple or white flowers that grow in groups and are highly attractive to butterflies',16,17,A bush with pretty purple or white flowers. The flowers grow in groups and butterflies really like them.,18,0.8298849
4931,pestle,'A heavy cylindrical object with a rounded end used for crushing and grinding.','a small heavy tool with a round end used for pressing things to a powder in a special bowl called a mortar',13,22,"a little, heavy tool with a round end. We use it to smash things into a powder in a special bowl named a mortar.",24,0.8931307
4932,kickback,'A pre-agreed commission given by one of the parties in a financial transaction to somebody who has facilitated or made possible the transaction without the knowledge of the other party.','money paid illegally to somebody in return for work or help',30,11,Secret money given to someone for help or work.,9,0.81137
4933,homophobic,'Having or conveying a dislike of homosexuals or homosexuality.','having or showing dislike towards gay people or treating them unfairly',9,11,not being nice or fair to people who like others of the same gender,14,0.7962848
4934,homophobia,'The dislike or hate of homosexuals or homosexuality.','dislike or unfair treatment of gay people',8,7,Not being nice or treating gay people well.,8,0.69356287
4935,homophobe,'A person who dislikes or hates homosexuals or homosexuality.','a person who dislikes gay people or treats them unfairly',9,10,Someone who is not nice to gay people.,8,0.8071065
4936,cornstarch,'A very fine starch powder derived from corn used as a thickener in cooking.','fine white flour made from corn (maize) used especially for making sauces thicker',14,13,"White corn flour, very fine, used to make sauces thicker.",10,0.8949934
4937,cornflour,'A very fine starch powder derived from corn used as a thickener in cooking.','fine white flour made from maize used especially for making sauces thicker',14,12,"white maize flour, good for making sauces thicker",8,0.8860202
4938,melatonin,'A hormone of formula C13H16N2O2 that regulates the sleep-wake cycles in humans.','a hormone that helps regulate (= control) waking and sleeping in humans and animals and which is sometimes used to treat insomnia (= the condition of being unable to sleep)',12,30,A helper thing that controls when we wake up and sleep in people and pets. Sometimes it's used to fix not being able to sleep.,25,0.771767
4939,deify,'To make a god of.','to treat somebody as a god',5,6,to act like someone is a king,7,0.7249068
4940,camaraderie,'A close friendship between people who are in a same group or team.','a feeling of friendship and trust among people who work or spend a lot of time together',13,17,"When people work or play lots together, they feel like friends and trust each other.",15,0.8203523
4941,chumminess,'A close friendship between people who are in a same group or team.','the fact of being very friendly',13,6,being really nice to friends,5,0.6098298
4942,comradeship,'A close friendship between people who are in a same group or team.','friendship between people who are members of the same group for example soldiers or people who work together',13,18,"Friends who are in the same team, like workers or soldiers, who are buddies.",14,0.8676044
4943,esoteric,'Not understandable by the non-initiated.','likely to be understood or enjoyed by only a few people with a special knowledge or interest',5,17,only a few people with special knowledge or interest will understand or enjoy it,14,0.85800636
4944,catkin,'A type of inflorescence arranged in a cylindrical cluster.','a long thin hanging bunch or short standing group of soft flowers on the branches of trees such as the willow',9,21,"A long, skinny group of soft, pretty flowers hanging from tree branches, like on a willow tree.",17,0.8102809
4945,decollete,'Having a low neckline that reveals part of the breasts.',with a very low top that shows a woman's shoulders and the top part of her breasts,10,17,It has a really low top that shows a lady's shoulders and some part of her chest.,17,0.9104978
4946,decolletage,A low neckline on a woman's dress that reveals part of the breasts.,'the top edge of a dress etc. that is designed to be very low in order to show the shoulders and the top part of the breasts',13,27,The top part of a dress that shows the shoulders and some of the chest.,15,0.8636625
4947,narrow-minded,'Having restricted or rigid views and being unreceptive to new ideas.','not willing to listen to new ideas or to the opinions of others',11,13,Doesn't want to hear new ideas or what other people think.,11,0.7629142
4948,small-minded,'Having restricted or rigid views and being unreceptive to new ideas.','having fixed opinions and ways of doing things and not willing to change them or consider other people’s opinions or feelings; interested in small problems and details and not in things which are really important',11,35,"Not wanting to change how they think or do things, and caring more about little details than big important stuff.",20,0.87306255
4949,frenemy,'An enemy pretending to be a friend.','a person or organization that you are friends with because it is useful or necessary to be their friend even though you really dislike or disagree with them',7,28,"A friend or group you buddy up with 'cause it helps you, even if you don't like them much.",19,0.80185807
4950,reminisce,'To talk or write about past experiences.','to think talk or write about a happy time in your past',7,12,"Think, talk, or write about a happy time from when you were little.",13,0.69610155
4951,stirring,'(For a music song etc.) Having a stimulating effect such as giving the desire to dance.','the beginning of a feeling an idea or a development',16,10,the start of a thought or a change,8,0.87790996
4952,syllabus,'A summary of topics which will be discussed in a course.','a list of the topics books etc. that students should study in a particular subject at school or college',11,19,"a list of things, like books and topics, that kids should learn about in school or college for a certain subject",21,0.8367151
4953,gunfighter,'(Old West) A person able to shoot quickly and accurately with a gun.','a person who uses guns in a fight',13,8,a person who uses guns when they fight,8,0.86372316
4954,gunslinger,'(Old West) A person able to shoot quickly and accurately with a gun.','a person who was paid to kill people',13,8,a person who got money to hurt people,8,0.8201612
4955,gunman,'(Old West) A person able to shoot quickly and accurately with a gun.','a man who uses a gun to steal from or kill people',13,12,a man who takes things with a gun from or hurts people,12,0.87189174
4956,markswoman,'A woman trained to shoot precisely with a certain type of rifle.','a woman who shows skill in accurate shooting',12,8,a lady who is good at shooting,7,0.8028674
4957,nursemaid,A woman who watches over someone else's kids usually as a full-time job.,'(in the past) a woman or girl whose job was to take care of babies or small children in their own homes',13,22,A lady who helps take care of little kids at home.,11,0.7802417
4958,babysitter,'A person who cares for the children of others occasionally and for a short period of time.','a person who takes care of babies or children while their parents are away from home and is usually paid to do this',17,23,A person who watches kids when their mom and dad go out and gets money for doing it.,18,0.8211226
4959,babysitting,'The practice of temporarily caring for children of another person.','the job or activity of taking care of babies or children for a short time while their parents are out',10,20,Taking care of kids when their mom and dad go out for a little time.,15,0.81142414
4960,honeybee,'A stinging social domesticated insect (Apis mellifera) kept by humans for the creation of beeswax and honey.','a bee that makes honey',17,5,"a bee that makes honey' 

(There's no need to simplify this sentence for kids, it's already simple.)",17,0.68639046
4961,biomolecule,'Any molecule that is produced by a living organism.','a chemical compound found in animals and plants that is necessary for a healthy body and growth',9,17,a thing in plants and animals that helps the body grow well and stay healthy,15,0.84039605
4962,taiga,'A biome characterized by coniferous forests consisting mostly of pines spruces and larches.','forest that grows in wet ground in far northern regions of the earth',13,13,"A big forest with lots of water on the ground, way up north on our planet.",16,0.74151003
4963,hallucinogen,'A general group of pharmacological agents that can cause subjective changes in perception thought emotion and consciousness.','a drug such as LSD that affects people’s minds and makes them see and hear things that are not really there',17,21,A thing like LSD that changes how people think and makes them see or hear stuff that isn't real.,19,0.89184046
4964,protectionism,'The economic policy of restraining trade between states through government regulations designed to promote goods and services produced domestically with respect to imports.','the principle or practice of protecting a country’s own industry by taxing foreign goods',23,14,It's when a country helps its own businesses by adding extra costs to things made in other countries.,18,0.74929637
4965,ransomware,'A class of malware which restricts access to the computer system that it infects and demands a ransom paid to the creator of the malware in order for the restriction to be removed.','a type of software that is designed to block access to a computer system until a sum of money is paid',33,21,A special computer program that stops you from using the computer until you pay some money.,16,0.8490375
4966,meteorological,'Of or pertaining to meteorology.',connected with the earth's atmosphere and its changes especially in the way they affect the weather,5,16,"It's about the air around our planet and how it changes, which helps us know what the weather will be like.",21,0.844777
4967,cyberwarfare,'Politically motivated hacking to conduct sabotage and espionage.','the use of computer technology to attack the information systems of a state or organization preventing them from carrying out important activities',8,22,Using computer tricks to mess up big computer systems so they can't do important jobs.,15,0.7163501
4968,configure,To set up or arrange something in such a way that it is ready for operation for a particular purpose or to someone's particular liking.,'to arrange something in a particular way especially computer equipment; to make equipment or software work in the way that the user prefers',25,23,"To set up things how you like, especially with computer stuff, so it works just right for you.",18,0.76710045
4969,reimburse,To compensate with payment; especially to repay money spent on one's behalf.,'to pay back money to somebody which they have spent or lost',12,12,to give money back to someone because you used it or lost it,13,0.7830545
4970,relocate,To change one's domicile or place of business.,'to move or to move somebody/something to a new place to work or operate',8,14,to take or help someone go to a new place for work,12,0.8265848
4971,cursor,'A moving icon or other representation of the position of the pointing device.','a small mark on a computer screen that can be moved and that shows the position on the screen where for example text will be added',13,26,A little dot on the screen that moves and shows where to add words.,14,0.84659487
4972,manipulator,'A device which can be used to move arrange or operate something.','a person who shows skill at influencing people or situations in order to get what they want',12,17,A person who is good at making others do what they want.,12,0.83137673
4973,animator,'A person who creates an animation or cartoon.','a person who makes animated films',8,6,A person who makes movies with moving drawings.,8,0.82816637
4974,cartoonist,'A person who creates an animation or cartoon.','a person who draws cartoons',8,5,a person who makes drawings,5,0.83395725
4975,simulator,'A machine or system that simulates an environment (such as an aircraft cockpit) often for training purposes.','a piece of equipment that artificially creates a particular set of conditions in order to train somebody to deal with a situation that they may experience in reality',17,28,A thing that makes a pretend place where someone can learn to handle stuff they might face for real.,19,0.7794333
4976,remaining,'Which remains especially after something else has been removed.','still needing to be done or dealt with',9,8,still must be done or handled,6,0.70466405
4977,podiatry,'The branch of medicine concerned with the diagnosis and treatment of diseases of the feet (and formerly the hands).','the work of a chiropodist',19,5,the job of a foot doctor,6,0.6693044
4978,chiropody,'The branch of medicine concerned with the diagnosis and treatment of diseases of the feet (and formerly the hands).','the work of a chiropodist',19,5,the job of a foot doctor,6,0.6693044
4979,cardigan,'A type of knit shirt having an open front that can usually be buttoned or zipped.','a jacket made of wool like a sweater but fastened with buttons down the front',16,15,"A wool jacket, like a sweater, but it has buttons on the front to close it.",16,0.86771035
4980,rustproof,'Resistant to rust oxidation and corrosion.','rustproof metal has had a substance put on it so that it will not rust',6,15,We put a special thing on the metal so it does not get rusty.,14,0.78270435
4981,reptilian,'Characteristic of or relating to reptiles.','connected with or typical of reptiles ',6,7,like a lizard or snake,5,0.6641116
4982,jaw-dropping,'Very surprising or shocking causing astonishment.','so large or good that it surprises you very much',6,10,"So big and good, it makes you go wow!",9,0.66808623
4983,jaw-droppingly,'In a very surprising or shocking manner that causes astonishment.','in a way that is so large or good that it surprises you very much',10,15,"It's really big and good, and it surprises you a lot.",11,0.7330753
4984,breathtakingly,'In a very surprising or shocking manner that causes astonishment.','in a way that is very exciting impressive or surprising',10,10,in a way that is really surprising and exciting,9,0.77726257
4985,virologist,'A person who studies or is expert in viruses.','a scientist who studies viruses and the diseases caused by them',9,11,A scientist who looks at tiny germs and the sicknesses they make.,12,0.8285927
4986,intermediary,'The person being the intermediary among more people to facilitate the creation and conclusion of a contract.','a person or an organization that helps other people or organizations to make an agreement by being a means of communication between them ',17,24,A helper who talks between two sides to make them agree.,11,0.7196563
4987,clothes-peg,'Wood or plastic fastener for holding clothes on a clothesline.','a piece of wood or plastic used for attaching wet clothes to a clothes line',10,15,a thing to hang wet clothes on a line,9,0.77049416
4988,inevitability,'The condition of being inevitable.','the fact that something cannot be avoided or prevented',5,9,something that must happen and cannot be stopped,8,0.8418659
4989,self-assurance,'The condition of being confident in oneself.','confidence in yourself and your abilities',7,6,believe in yourself and what you can do,8,0.80111647
4990,self-assured,'Who is confident in oneself.','having a lot of confidence in yourself and your abilities',5,10,feeling really sure about yourself and what you can do,10,0.7932112
4991,consecutively,'In a consecutive manner; without interruption.','following one after another in a continuous series ',6,9,going one by one in a row,7,0.6779294
4992,phonograph,'A device that plays the sound stored on a gramophone record.','a piece of equipment for playing records in order to listen to the music etc. on them',11,17,A thing that plays music from round flat things called records.,11,0.8023942
4993,gramophone,'A device that plays the sound stored on a gramophone record.','a piece of equipment for playing records in order to listen to the music etc. on them',11,17,a thing that plays music from round discs.,8,0.81408787
4994,goo,'A liquid or semi-liquid viscous and sticky substance.','any unpleasant sticky wet substance',8,5,"any yucky, sticky wet stuff",5,0.7631319
4995,gloop,'A liquid or semi-liquid viscous and sticky substance.','a thick wet substance that looks tastes or feels unpleasant',8,10,"a yucky, thick stuff that doesn't look, taste, or feel nice",11,0.77404195
4996,glop,'A liquid or semi-liquid viscous and sticky substance.','a thick wet substance that looks tastes or feels unpleasant',8,10,"a yucky, goopy stuff that doesn't look, taste, or feel nice",11,0.7478766
4997,goop,'A liquid or semi-liquid viscous and sticky substance.','a thick soft sticky substance that looks tastes or feels unpleasant',8,11,"a yucky, thick stuff that feels sticky and doesn't taste good",11,0.7943709
